Word_Positive,Word_Negative,Bigram_Positive,Bigram_Negative,Length
1620,1101,13,0,75
3219,3930,9,15,221
3137,2610,72,94,66
3542,5552,22,100,101
353,2074,0,169,53
1124,1176,0,11,20
96,257,0,0,47
220,1114,0,0,29
3492,2638,63,20,40
2573,3244,0,22,188
1615,1202,13,0,21
373,899,0,0,50
776,1147,15,0,192
5159,5938,12,41,141
1710,2941,14,29,317
78,432,0,0,16
1683,1429,49,107,13
1786,1472,12,0,42
2373,1761,46,9,71
6558,6666,37,27,267
1575,1919,24,67,20
2715,2674,0,0,54
1591,2067,18,120,89
434,535,0,0,97
2448,2555,39,85,148
4961,5307,10,48,276
3925,2888,184,188,159
729,595,0,0,127
758,986,162,188,46
2332,2527,11,0,43
3932,3428,8,0,269
1639,969,0,0,59
696,3156,0,114,143
5607,7843,167,43,246
2254,2706,7,0,135
2909,2014,434,176,93
3603,2730,0,0,117
0,0,0,0,2
2638,2830,442,57,90
797,1891,0,0,90
0,0,0,0,14
2322,1642,0,0,280
4573,5707,97,205,272
3613,6326,0,0,157
3117,3788,11,0,221
1104,1437,0,0,11
2529,2977,11,0,78
2634,2609,92,53,30
1988,1672,16,0,50
621,1677,0,10,64
1335,1171,490,170,46
2615,4724,8,17,138
2487,5587,8,42,82
1260,366,542,105,66
4075,4138,96,189,207
442,67,0,0,18
1440,2413,114,269,169
3539,5282,16,0,146
33,0,0,0,24
234,292,0,0,47
3958,5351,36,13,272
385,1430,0,0,83
902,886,0,14,54
3257,5796,0,0,151
3230,4013,0,0,241
109,674,0,0,35
2381,4408,0,36,276
1570,4093,14,181,111
697,273,0,0,23
2104,4252,0,42,62
2461,1458,212,119,134
1119,3229,0,10,170
2767,3738,0,0,254
2288,3214,37,32,176
252,1027,0,0,32
10720,9151,554,172,268
255,110,0,0,8
3050,2604,116,127,122
1933,2479,0,0,214
6599,4702,49,10,260
2173,2861,0,0,148
0,27,0,0,8
1189,804,0,0,68
1052,1056,17,8,72
1562,2875,38,36,70
682,1594,0,13,26
44,22,0,0,42
5230,5017,18,45,171
47,22,0,0,18
3390,2431,474,109,164
89,360,0,0,14
0,0,0,0,2
4112,5821,162,201,265
922,171,0,0,9
2616,1792,82,25,60
992,1027,0,0,119
1608,2494,15,19,80
34,22,0,0,24
2003,1739,16,0,68
434,317,0,0,20
3868,5833,9,19,203
2713,2276,29,0,84
605,864,0,0,91
1372,1147,442,47,21
2790,2462,17,0,107
2203,2969,14,20,262
1586,1204,17,0,118
3650,3580,0,14,205
1853,4022,7,58,112
0,0,0,0,8
2235,4018,0,15,25
1497,1403,350,370,95
2943,940,28,9,41
212,96,0,0,7
3613,2774,120,20,46
1901,2868,0,0,79
0,0,0,0,9
3179,5801,19,40,138
4561,3415,54,0,234
2054,2738,7,112,48
642,272,7,0,71
3287,2897,100,9,48
